week,sku,weekly_sales,EV,color,price,vendor,functionality
10/31/16,1,135,TRUE,white,10.16,6,Container
11/7/16,1,102,TRUE,white,9.86,6,Container
11/14/16,1,110,TRUE,white,10.24,6,Container
11/21/16,1,127,TRUE,white,8.27,6,Container
11/28/16,1,84,TRUE,white,8.83,6,Container
12/5/16,1,87,TRUE,white,8.98,6,Container
12/12/16,1,64,TRUE,white,10.4,6,Container
12/19/16,1,128,TRUE,white,9.57,6,Container
12/26/16,1,23,TRUE,white,10.49,6,Container
1/2/17,1,154,TRUE,white,9.19,6,Container
1/9/17,1,85,TRUE,white,11.91,6,Container
1/16/17,1,11,FALSE,white,23.19,6,Container
1/23/17,1,19,FALSE,white,20.59,6,Container
1/30/17,1,17,FALSE,white,20.74,6,Container
2/6/17,1,17,FALSE,white,21.94,6,Container
2/13/17,1,17,FALSE,white,19.73,6,Container
2/20/17,1,13,FALSE,white,23.88,6,Container
2/27/17,1,8,FALSE,white,26.11,6,Container
3/6/17,1,8,FALSE,white,27.5,6,Container
3/13/17,1,5,FALSE,white,27.69,6,Container
3/20/17,1,6,FALSE,white,28.69,6,Container
3/27/17,1,9,FALSE,white,21.21,6,Container
4/3/17,1,6,TRUE,white,27.69,6,Container
4/10/17,1,4,FALSE,white,27.69,6,Container
4/17/17,1,13,FALSE,white,29.69,6,Container
4/24/17,1,7,FALSE,white,27.69,6,Container
5/1/17,1,9,FALSE,white,23.79,6,Container
5/8/17,1,4,FALSE,white,26.5,6,Container
5/15/17,1,5,FALSE,white,28.69,6,Container
5/22/17,1,9,FALSE,white,24.42,6,Container
5/29/17,1,7,FALSE,white,28.69,6,Container
6/5/17,1,8,FALSE,white,27.69,6,Container
6/12/17,1,11,FALSE,white,22.35,6,Container
6/19/17,1,5,FALSE,white,29.69,6,Container
6/26/17,1,8,FALSE,white,27.69,6,Container
7/3/17,1,7,FALSE,white,13.11,6,Container
7/10/17,1,10,FALSE,white,28.31,6,Container
7/17/17,1,7,FALSE,white,27.69,6,Container
7/24/17,1,5,FALSE,white,28.74,6,Container
7/31/17,1,5,FALSE,white,27.69,6,Container
8/7/17,1,13,FALSE,white,27.69,6,Container
8/14/17,1,4,FALSE,white,23.01,6,Container
8/21/17,1,7,FALSE,white,22.64,6,Container
8/28/17,1,10,FALSE,white,23.98,6,Container
9/4/17,1,7,FALSE,white,21.4,6,Container
9/11/17,1,5,FALSE,white,26.49,6,Container
9/18/17,1,6,FALSE,white,25.49,6,Container
9/25/17,1,11,FALSE,white,26.49,6,Container
10/2/17,1,12,FALSE,white,25.98,6,Container
10/9/17,1,4,FALSE,white,27.49,6,Container
10/16/17,1,9,FALSE,white,25.49,6,Container
10/23/17,1,11,FALSE,white,26.47,6,Container
10/30/17,1,8,FALSE,white,21.33,6,Container
11/6/17,1,8,FALSE,white,24.7,6,Container
11/13/17,1,17,FALSE,white,26.89,6,Container
11/20/17,1,8,FALSE,white,24.98,6,Container
11/27/17,1,7,FALSE,white,26.49,6,Container
12/4/17,1,7,FALSE,white,26.49,6,Container
12/11/17,1,9,FALSE,white,23.04,6,Container
12/18/17,1,3,FALSE,white,26.49,6,Container
12/25/17,1,10,FALSE,white,27.49,6,Container
1/1/18,1,7,FALSE,white,24.3,6,Container
1/8/18,1,13,FALSE,white,25.49,6,Container
1/15/18,1,11,FALSE,white,24.8,6,Container
1/22/18,1,6,FALSE,white,26.49,6,Container
1/29/18,1,5,FALSE,white,25.49,6,Container
2/5/18,1,7,FALSE,white,26.49,6,Container
2/12/18,1,8,TRUE,white,25.18,6,Container
2/19/18,1,3,FALSE,white,25.43,6,Container
2/26/18,1,10,FALSE,white,22,6,Container
3/5/18,1,14,FALSE,white,27.49,6,Container
3/12/18,1,29,TRUE,white,25.32,6,Container
3/19/18,1,26,FALSE,white,25.49,6,Container
3/26/18,1,16,FALSE,white,27.49,6,Container
4/2/18,1,28,TRUE,white,27.49,6,Container
4/9/18,1,13,FALSE,white,25.49,6,Container
4/16/18,1,15,FALSE,white,25.49,6,Container
4/23/18,1,27,TRUE,white,26.49,6,Container
4/30/18,1,13,FALSE,white,27.49,6,Container
5/7/18,1,26,TRUE,white,26.49,6,Container
5/14/18,1,20,FALSE,white,25.49,6,Container
5/21/18,1,23,FALSE,white,25.49,6,Container
5/28/18,1,21,FALSE,white,27.49,6,Container
6/4/18,1,21,FALSE,white,22.85,6,Container
6/11/18,1,22,FALSE,white,22.85,6,Container
6/18/18,1,21,FALSE,white,24.85,6,Container
6/25/18,1,23,FALSE,white,24.85,6,Container
7/2/18,1,28,TRUE,white,26.49,6,Container
7/9/18,1,16,FALSE,white,25.49,6,Container
7/16/18,1,32,TRUE,white,25.49,6,Container
7/23/18,1,17,TRUE,white,21.42,6,Container
7/30/18,1,15,FALSE,white,31.56,6,Container
8/6/18,1,18,FALSE,white,31.56,6,Container
8/13/18,1,10,FALSE,white,30.56,6,Container
8/20/18,1,16,FALSE,white,30.56,6,Container
8/27/18,1,16,FALSE,white,29.56,6,Container
9/3/18,1,15,FALSE,white,31.56,6,Container
